fips,state,year,sex,sex_cat,age,age_cat,hf_ageadjusted,hf_count,hf_rate,hf_ll,hf_ul,hf_attrib,stroke_ageadjusted,stroke_count,stroke_rate,stroke_ll,stroke_ul,mi_ageadjusted,mi_count,mi_rate,mi_ll,mi_ul,mi_attrib,lea_ageadjusted,lea_count,lea_rate,lea_ll,lea_ul,lea_attrib,hypogl_ageadjusted,hypogl_count,hypogl_rate,hypogl_ll,hypogl_ul,hhns_ageadjusted,hhns_count,hhns_rate,hhns_ll,hhns_ul,dka_ageadjusted,dka_count,dka_rate,dka_ll,dka_ul
29,MISSOURI,2013,2,Females,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.544137319,0.456055339,0.632219299,,166,1.612978481,1.351878325,1.874078636
30,MONTANA,2014,0,Overall,0,18+,7.7,828,13.64404717,12.46414530612323,14.82394902638075,420,6.1,622,10.24951369,9.363162295,11.13586509,5.6,512,8.436898731,7.707297581,9.166499881,50,4.2,276,4.548015722083996,4.154715102,4.941316342,220,2.2,109,1.796136644,1.640811399,1.951461889,2,73,1.202917202,1.098892038,1.306942366,20.9,431,7.102154986,6.487979018,7.716330955
30,MONTANA,2014,0,Overall,1,18-44,,22,2.834965307,2.089331720147422,3.580598893931332,0,,22,2.834965307,2.08933172,3.580598894,,22,2.834965307,2.08933172,3.580598894,0,,28,3.608137663504662,2.659149462,4.557125865,20,,22,2.834965307,2.08933172,3.580598894,,23,2.963827366,2.184301344,3.743353389,,282,36.33910075,26.78143387,45.89676764
30,MONTANA,2014,0,Overall,2,45-64,,184,7.236725197,6.233589727049351,8.239860667261173,130,,126,4.955583559,4.268653835,5.642513283,,177,6.961414999,5.996442292,7.926387707,30,,145,5.70285409558431,4.912339731,6.493368461,130,,30,1.179900847,1.016346151,1.343455544,,25,0.983250706,0.846955126,1.119546286,,119,4.680273361,4.0315064,5.329040323
30,MONTANA,2014,0,Overall,3,65-74,,231,14.27288931,11.98937485507886,16.55640375851018,160,,189,11.67781852,9.809488518,13.54614853,,147,9.082747741,7.629602181,10.5358933,0,,66,4.077968373369862,3.425535673,4.730401074,50,,23,1.421110191,1.19374728,1.648473101,,,,,,,,,,
30,MONTANA,2014,0,Overall,4,75+,,391,34.55536463,27.94414659493042,41.16658265918289,140,,285,25.18741411,20.3684956,30.00633263,,166,14.67056401,11.86375533,17.47737269,20,,37,3.269944990284133,2.644331008,3.895558973,20,,34,3.004814315,2.429925791,3.57970284,,,,,,,,,,
30,MONTANA,2014,0,Overall,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.909100671,0.797880888,1.020320454,,30,1.090920806,0.957457066,1.224384545
30,MONTANA,2014,1,Males,0,18+,7.9,456,13.90351688,12.21408000997129,15.59295374595311,210,6.1,344,10.488618,9.214130534,11.76310546,6.5,341,10.39714749,9.133774744,11.66052024,20,5.1,191,5.823622201076272,5.115985267,6.531259135,160,1.9,57,1.73793961,1.526760001,1.949119218,1.8,40,1.219606744,1.071410527,1.36780296,17.5,221,6.738327259,5.919543163,7.557111355
30,MONTANA,2014,1,Males,1,18-44,,11,2.27857063,1.529388016912563,3.027753243486119,0,,11,2.27857063,1.529388017,3.027753243,,11,2.27857063,1.529388017,3.027753243,0,,17,3.521427337580799,2.363599663,4.679255013,15,,11,2.27857063,1.529388017,3.027753243,,12,2.485713415,1.668423291,3.303003538,,144,29.82856098,20.02107949,39.63604246
30,MONTANA,2014,1,Males,2,45-64,,109,8.597919962,6.862673905972231,10.33316601727985,70,,77,6.073759973,4.847943952,7.299575994,,120,9.465599958,7.555237328,11.37596259,0,,103,8.124639963738367,6.48491204,9.764367888,90,,14,1.104319995,0.881444355,1.327195635,,14,1.104319995,0.881444355,1.327195635,,66,5.206079977,4.15538053,6.256779423
