Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
45,SC,South Carolina,"838,065","822,623",853507.0,17.9,17.6,18.2,"281,738","272,769",290707.0,26.4,25.6,27.2,"195,415","187,815",203015.0,25.1,24.1,26.1,"45,337","44,839","45,835","81,681","77,091",86271.0,28.7,27.1,30.3
46,SD,South Dakota,"115,906","111,520",120292.0,14.1,13.6,14.6,"37,836","35,834",39838.0,18.4,17.4,19.4,"23,496","21,935",25057.0,16.1,15.0,17.2,"51,059","50,111","52,007","13,429","12,229",14629.0,22.7,20.7,24.7
47,TN,Tennessee,"1,165,245","1,145,236",1185254.0,18.2,17.9,18.5,"380,159","369,180",391138.0,25.9,25.2,26.6,"260,262","250,713",269811.0,24.3,23.4,25.2,"44,357","43,810","44,904","113,943","108,558",119328.0,29.2,27.8,30.6
48,TX,Texas,"4,519,548","4,474,578",4564518.0,17.2,17.0,17.4,"1,721,843","1,695,196",1748490.0,24.5,24.1,24.9,"1,185,167","1,162,199",1208135.0,23.3,22.8,23.8,"53,067","52,694","53,440","510,649","498,392",522906.0,26.5,25.9,27.1
49,UT,Utah,"341,587","330,845",352329.0,11.8,11.4,12.2,"120,155","113,195",127115.0,13.4,12.6,14.2,"81,347","75,358",87336.0,12.7,11.8,13.6,"60,943","60,307","61,579","35,687","32,291",39083.0,14.4,13.0,15.8
50,VT,Vermont,"72,294","68,859",75729.0,12.0,11.4,12.6,"18,374","16,966",19782.0,15.4,14.2,16.6,"12,473","11,267",13679.0,14.1,12.7,15.5,"54,153","52,739","55,567","5,157","4,469",5845.0,17.4,15.1,19.7
51,VA,Virginia,"955,541","936,889",974193.0,11.8,11.6,12.0,"292,525","282,366",302684.0,15.9,15.3,16.5,"199,966","191,248",208684.0,15.0,14.3,15.7,"64,923","64,318","65,528","85,189","80,025",90353.0,16.9,15.9,17.9
53,WA,Washington,"913,463","895,355",931571.0,13.2,12.9,13.5,"275,662","265,882",285442.0,17.5,16.9,18.1,"180,464","171,990",188938.0,16.0,15.2,16.8,"61,358","60,882","61,834","85,453","80,800",90106.0,19.6,18.5,20.7
54,WV,West Virginia,"328,734","320,351",337117.0,18.3,17.8,18.8,"91,659","88,030",95288.0,25.0,24.0,26.0,"61,365","58,228",64502.0,23.1,21.9,24.3,"41,030","40,399","41,661","28,483","26,640",30326.0,28.7,26.8,30.6
55,WI,Wisconsin,"737,307","723,342",751272.0,13.2,13.0,13.4,"233,850","226,399",241301.0,18.4,17.8,19.0,"155,813","149,525",162101.0,16.7,16.0,17.4,"52,632","52,206","53,058","71,850","67,945",75755.0,21.5,20.3,22.7
56,WY,Wyoming,"63,860","60,264",67456.0,11.2,10.6,11.8,"18,580","17,090",20070.0,13.7,12.6,14.8,"11,933","10,692",13174.0,12.2,10.9,13.5,"58,291","56,701","59,881","5,794","5,043",6545.0,15.5,13.5,17.5
